[2024-11-20 10:50:11] [INFO] The Server is UP !!
[2024-11-20 10:50:14] [CONNECTION] Client connected.
[2024-11-20 10:50:14] [TRACE] Metode : GET --> /GET.html
[2024-11-20 10:50:14] [CONNECTION] Client connected.
[2024-11-20 10:50:14] [TRACE] Metode : GET --> /favicon.svg
[2024-11-20 10:50:14] [TRACE] Metode : GET --> /GET.html
[2024-11-20 10:50:14] [TRACE] Metode : GET --> /favicon.svg
[2024-11-20 10:50:14] [TRACE] Metode : GET --> /GET.html
[2024-11-20 10:50:14] [TRACE] Metode : GET --> /favicon.svg
[2024-11-20 10:50:14] [TRACE] Metode : GET --> /GET.html
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /favicon.svg
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /GET.html
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /favicon.svg
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /GET.html
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /favicon.svg
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /GET.html
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /favicon.svg
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /GET.html
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /favicon.svg
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /GET.html
[2024-11-20 10:50:15] [TRACE] Metode : GET --> /favicon.svg
